Nombre del producto,Nombre de la variante,Categoría,SKU,Unidades,Moneda,Importe,Precio de coste,Beneficio,Margen
Fritz Kola Zero,,Begudes Envasades,,45,EUR,"132,90","1,20","64,80","54,545 %"
Fritz Llimona,,Begudes Envasades,,67,EUR,"199,20","1,20","99,01","55,186 %"
Fritz Taronja,,Begudes Envasades,,42,EUR,"125,70","1,20","63,66","55,812 %"
Fritzcola Zero,,Begudes Envasades,,6,EUR,"18,00",,,
Got Llet,,Cafes,,8,EUR,"8,00",,,
Granja Paraíso 250,,Granel,,8,EUR,"163,80","13,35","30,98","22,485 %"
Ice Latte,,,,5,EUR,"-18,60",,,
Ice Latte,,Cafes,,1.213,EUR,"4470,32","1,25","2513,57","62,374 %"
Ice Latte,Decaf,Cafes,,13,EUR,"46,80",,,
Ice Matcha Latte,,Te,,248,EUR,"1019,20","1,30","603,35","65,174 %"
Ice Strawberry Cold Brew,,Especials,,43,EUR,"180,16","1,00","119,73","73,575 %"
Ice Strawberry Matcha Latte,,Especials,,108,EUR,"594,60","1,78","348,30","64,435 %"
Iced Chai Latte,,Cafes,,27,EUR,"127,20","1,50","72,65","64,206 %"
In solem Twins,,Cervesa,,68,EUR,"233,80","1,85","76,49","37,812 %"
Isp Facto Twins,,Cervesa,,83,EUR,"287,00","1,85","103,74","40,32 %"
Kombucha Llimona/gingebre,,Begudes Envasades,,6,EUR,"23,40","2,50","6,30","29,577 %"
La Caro 250,,Granel,,5,EUR,"72,50","8,92","15,30","25,542 %"
La Cima,,Granel,,5,EUR,"62,50","8,05","15,52","27,828 %"
La Esperanza 250,,Granel,,3,EUR,"58,50","12,68","10,32","21,339 %"
La Leona,,Granel,,4,EUR,"54,00","9,68","10,36","21,108 %"
La Tribu,,Granel,,9,EUR,"110,00","8,05","22,96","24,064 %"
Latte,,,,2,EUR,"-5,80",,,
Latte,,Cafes,,121,EUR,"340,05","0,75","207,10","69,531 %"
Latte,L,Cafes,,12,EUR,"36,00","1,04","20,28","61,904 %"
Latte,M,,,1,EUR,"-2,90",,,
Latte,M,Cafes,,279,EUR,"814,21","0,60","573,19","77,396 %"
Lemon Pie,,Menjar,,23,EUR,"57,00",,,
Lemon Pie,,Menjar,,138,EUR,"483,00","1,00","300,86","68,554 %"
Lemon Pie,Estandard,Menjar,,12,EUR,"30,00","0,90","16,44","60,352 %"
Lemon Pie,OLO,Menjar,,29,EUR,"101,50","1,00","63,22","68,553 %"
Lemonade Honey Cold Brew,,Especials,,19,EUR,"81,30","1,00","54,85","74,272 %"
Limonada Menta,,Begudes,,26,EUR,"94,60",,,
Llimonada,,Begudes,,152,EUR,"483,20","0,60","347,85","79,227 %"
Marzen Twins,,Cervesa,,14,EUR,"48,30","1,85","17,29","40,032 %"
Matcha Latte,,Te,,68,EUR,"259,77","1,20","153,93","65,354 %"
Matcha Latte,,,,1,EUR,"-3,70",,,
Matcha Latte,L,Te,,1,EUR,"4,20","1,46","2,36","61,78 %"
Matcha Latte,M,Te,,3,EUR,"11,10","1,09","6,81","67,559 %"
Moka,,Cafes,,33,EUR,"132,00","2,30","44,21","36,807 %"
Montblanc,,Especials,,8,EUR,"44,00",,,
Pain au chocolat,,Menjar,52,1.141,EUR,"2477,59","0,94","1176,63","52,313 %"
Pain au chocolat,,,,1,EUR,"-2,20",,,
Patates bossa,,Menjar,,3,EUR,"4,50","0,55","2,43","59,558 %"
Red Matcha Coco,,Especials,,69,EUR,"324,28",,,
Refresc Llimona,,Begudes Envasades,,7,EUR,"17,50",,,
Refresc Taronja,,Begudes Envasades,,5,EUR,"12,50",,,
Revista Mirades,,Otros,,5,EUR,"45,00",,,
SAMARRETA A,,MERCH,,1,EUR,"18,00","9,50","5,38","36,155 %"
San Pedro 250,,Granel,,3,EUR,"57,00","12,13","10,71","22,738 %"
Seweda 250,,Granel,,6,EUR,"94,40","10,28","17,38","21,983 %"
Sodas / Refresc amb gust,,Begudes,,2,EUR,"6,00",,,
